"","pollenprod","allergen","floweringdur","VPA","year","X","Y","UTM_X","UTM_Y","UI","UI_categories","Bet_v_1","PGE_2","LTB_4","O3","NO2","NH3","NO___NO2","avg_catkin_weight","g_pollen___catkin","trunk_perimeter","crown_radius","tree_height","lower_limit_of_the_crown","crown_height","crown_surface_spheroidal","crown_surface_cone","avg_catkin_length","avg_catkin_diameter","avg_catkin_length__pp_","avg_catkin_diameter__pp_","avg_catkin_volume","PG_per_flower","PG_per_catkin","PG_per_m3_of_crown","PG_per_tree","flowers_per_catkin","flowers_per_m3_of_crown","flowers_per_tree","catkins_per_m3_of_crown","catkins_per_individual","flowering_start_date","flowering_end_date","Flowering_duration","Peak_date"
"16",NA,0.18542754938947,NA,0.18542754938947,2013,48.340795,10.905433,641195,5355934,0.679832000250684,"u",10744.022,36.31055,10.1755,71.6,23.3333333333333,NA,NA,0.262655367231638,0.0340677966101695,90,5.15,16.5356096851274,2.05920769491748,14.4764019902099,2229.67637087886,1904.15007235203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,0.236980229966875,NA,0.236980229966875,2013,48.352371,10.902708,640961,5357215,0.922597135682149,"u",13508.8845,16.13723,6.845,56.8666666666667,47.9333333333333,NA,NA,0.285524475524476,0.069020979020979,110,2.8,16.1,1.9,14.2,733.193234933483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,0.0615957773588544,NA,0.0615957773588544,2013,48.361011,10.915979,641920,5358200,0.933907595185473,"u",4102.7025,54.604675,10.245,59.1333333333333,25.6333333333333,NA,NA,0.139136363636364,0.0400454545454546,108,2.7,12.1394387679164,2.84512574086931,9.29431302704709,578.770916022318,1358.5838207403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,0.220572008978798,NA,0.220572008978798,2013,48.366541,10.901463,640830,5358788,1,"u",12628.88225,27.352,13.505,61.9,25.4333333333333,NA,NA,0.378974358974359,0.0142307692307692,69,3.5,10.2547839840065,1.96833496093762,8.28644902306884,1412.38167382093,1358.5838207403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,0.113480495152416,NA,0.113480495152416,2013,48.403971,10.922653,642281,5362895,0.496846620649927,"s",6885.37275,46.07725,0.4455,79.5333333333333,28.9333333333333,NA,NA,0.175684210526316,0.0229473684210526,175,5.1,18.2165830456541,1.49053922086139,16.7260438247927,2062.72352451274,2229.67637087886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,0.173869814533551,NA,0.173869814533551,2013,48.335996,10.825538,635288,5355256,0.110162829981021,"r",10124.16,7.03667,3.53575,80,10.4666666666667,NA,NA,0.298041237113402,0.0347422680412371,204,6.25,24.3656900417866,4.54781435217326,19.8178756896133,3109.14808877903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,0.0731810953581664,NA,0.0731810953581664,2013,48.272988,10.903997,641279,5348424,0.380057004645384,"s",4724.04383333333,114.23145,24.403,66.5,14.8333333333333,NA,NA,0.0882022471910112,0.00382022471910112,127,3.6,18.1664267504914,3.27000326519655,14.8964234852949,1083.99046615633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,0.2558350316459,NA,0.2558350316459,2013,48.318889,10.915574,642007,5353518,0.434381994897249,"s",14520.10125,44.45471,0.541,83.2,14.4666666666667,NA,NA,0.136781609195402,0.016551724137931,168,7,23.6062395567368,2.28619269661384,21.3200468601229,3939.64605525987,578.770916022318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,0.104476377940968,NA,0.104476377940968,2013,48.34482,10.835642,636013,5356255,0.167574951171997,"r",6402.46583333333,144.60117,1.9985,64.7666666666667,10.5666666666667,NA,NA,0.088876404494382,0.00470786516853933,175,9.3,18.4204781441233,1.71,16.7104781441233,10897.9187193368,578.770916022318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,0,2013,48.346501,10.939302,643689,5356631,0.495727637751632,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,162,5.3,21.7010252669255,4.56091992584165,17.1401053410838,2229.97437755798,1378.90020192989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,0,2013,48.361838,10.936341,643692,5356632,0.495546615468612,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,101,3.7,18.2,1.8,16.4,1183.45913021408,1378.90020192989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,0,2013,48.363671,10.935152,643333,5358531,0.800928810029074,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA,146,3.9,18.5,1.8,16.7,1292.34258124917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,0,2013,48.349716,10.873015,638769,5356866,0.830045982036354,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA,175,3.8,19.3,1.8,17.5,1274.32962402145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,0,2013,48.344356,10.867572,638380,5356260,0.666169765117061,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,130,5.7,18.4919926235456,5.96113123340044,12.5308613901452,5564.66420169279,2062.72352451274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,0,2013,48.344131,10.867612,638384,5356235,0.660879058609375,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,5.05,17.6528929923683,4.38027585934544,13.2726171330229,2308.82569535743,2062.72352451274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,0,2013,48.347156,10.883676,639566,5356601,0.877939011227365,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA,120,3.8,18.1169981566411,4.288475778961,13.8285223776801,1156.57239323209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,0,2013,48.371742,10.883748,639504,5359334,1,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,4.3,19.5763038889131,2.48611668924562,17.0901871996675,1521.2555806294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,0,2013,48.374658,10.867051,638320,5359638,0.977617375076458,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA,105,5.35,13.2036840722101,0.82511336474076,12.3785707074693,3614.4937242465,3109.14808877903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,0,2013,48.344674,10.868143,638421,5356297,0.680190943717759,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA,171,5.5,22.5728817075894,3.80972792462218,18.7631537829673,2399.91564627196,3109.14808877903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,0,2013,48.383316,10.849258,636919,5360558,0.823244056574781,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA,185,5,24.7073681444202,1.35089870143565,23.3564694429845,2224.08637547745,3939.64605525987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,0,2013,48.3867,10.86146,637813,5360956,0.859325785681978,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA,85,3,13.7,0.860878256677875,12.8391217433221,764.498758514595,8493.73236249425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,0,2013,48.314605,10.849206,637099,5352921,0.112725396719944,"r",NA,NA,NA,NA,NA,NA,NA,NA,NA,170,4.3,21.0692915170774,5.41284212746433,15.6564493896131,1481.13335538602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,0,2013,48.385021,10.84628,636694,5360742,0.725878208654351,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,4.9,24.8,1,23.8,2185.73084023233,2018.55036176509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,0,2013,48.343572,10.846457,636818,5356135,0.302654973617667,"r",NA,NA,NA,NA,NA,NA,NA,NA,NA,147,5.1,16.7,1.7,15,2122.48208460078,995.901131289062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
